Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]"
2022,YR2022,Netherlands,NLD,69577.4045796776,..
2022,YR2022,New Zealand,NZL,51966.8625777626,..
2022,YR2022,Norway,NOR,114898.759885569,..
2022,YR2022,Poland,POL,43268.5437126031,..
2022,YR2022,Portugal,PRT,41451.6148656947,..
2022,YR2022,Slovak Republic,SVK,37459.4738440688,..
2022,YR2022,Spain,ESP,45825.1956330087,..
2022,YR2022,Sweden,SWE,64578.3963325427,..
2022,YR2022,Switzerland,CHE,83598.453356565,..
2022,YR2022,Turkiye,TUR,37273.6997606048,..
2022,YR2022,United Kingdom,GBR,54602.544380158,..
2022,YR2022,United States,USA,76398.5917422057,..
2022,YR2022,Brazil,BRA,17821.7372609877,..
2022,YR2022,Chile,CHL,30208.805531053,..
2022,YR2022,China,CHN,21475.610527214,..
2022,YR2022,Estonia,EST,46697.3597360426,..
2022,YR2022,India,IND,8379.06248736089,..
2022,YR2022,Indonesia,IDN,14652.9282752376,..
2022,YR2022,Israel,ISR,49509.1289935125,..
2022,YR2022,Russian Federation,RUS,36484.6796875,..
2022,YR2022,Slovenia,SVN,50031.6561840507,..
2022,YR2022,South Africa,ZAF,15904.848362637,..
2022,YR2022,Latvia,LVA,39956.1904770152,..
2022,YR2022,Costa Rica,CRI,24922.659274084,..
2022,YR2022,Lithuania,LTU,48396.6935449884,..
2022,YR2022,Colombia,COL,20287.4002631682,..
2022,YR2022,Peru,PER,15047.5183272037,..
2022,YR2022,Bulgaria,BGR,33582.2826109196,..
2022,YR2022,Croatia,HRV,40379.5724355217,..
2022,YR2022,Romania,ROU,41887.9219020734,..
2022,YR2022,Argentina,ARG,26504.5905619696,..
2022,YR2022,Malta,MLT,55927.8593837575,..
2022,YR2022,Cyprus,CYP,49930.8671875,..
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 10/26/2023,,,,,
