Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2011,YR2011,Poland,POL,866.09466553,13776.389395702,4.98572218638633,6.2400856
2011,YR2011,Portugal,PRT,2255.96923828,23217.2954965209,-1.55146831672478,9.73071671
2011,YR2011,Slovenia,SVN,2147.80517578,25128.0150431306,0.652023243217954,8.53639603
2011,YR2011,Sweden,SWE,6351.21679688,60755.7595508465,2.41898851140094,10.41646671
2011,YR2011,United States,USA,8020.43994141,50065.9665041742,0.814519357932042,16.13764381
2011,YR2011,United Kingdom,GBR,4208.65429688,42150.6981408821,0.280839242919754,9.91592121
2012,YR2012,Austria,AUT,4966.09570313,48564.9173350875,0.222450576943075,10.19915581
2012,YR2012,Canada,CAN,5541.57714844,52669.0899632316,0.662000650851027,10.51472855
2012,YR2012,Chile,CHL,1081.46081543,15406.4928361503,5.12573837749758,7.02092028
2012,YR2012,Denmark,DNK,6168.33935547,58507.5080517852,-0.149916088315891,10.5219717
2012,YR2012,Estonia,EST,1013.31420898,17403.2053254767,3.59836215956679,5.83366966
2012,YR2012,France,FRA,4644.59570313,40870.8523645734,-0.171161336111382,11.29740047
2012,YR2012,Germany,DEU,4765.69482422,43855.8544658618,0.230160992711959,10.85349178
2012,YR2012,Iceland,ISL,3759.89355469,45995.5478789467,0.527304433471059,8.18118858
2012,YR2012,Ireland,IRL,5222.04492188,49054.6974340641,-0.428365852445722,10.62784767
2012,YR2012,Italy,ITA,3086.30322266,35051.5212697703,-3.24206011995115,8.78352833
2012,YR2012,Netherlands,NLD,5284.64990234,50070.1416045904,-1.39591933577908,10.53898716
2012,YR2012,Norway,NOR,8970.12011719,102175.919298374,1.3776409008747,8.77787971
2012,YR2012,Poland,POL,815.1418457,13010.7569185983,1.54546434180358,6.22393656
2012,YR2012,Portugal,PRT,1980.01867676,20563.7136012629,-3.66753141566937,9.65393257
2012,YR2012,Slovenia,SVN,1974.85400391,22641.805122503,-2.84370502025251,8.71509933
2012,YR2012,Sweden,SWE,6254.44238281,58037.8213192173,-1.32100232444557,10.7351532
2012,YR2012,United States,USA,8272.95800781,51784.4185738837,1.53310203539129,16.11693954
2012,YR2012,United Kingdom,GBR,4253.50195313,42485.5860695397,0.745478657756621,9.93235588
2013,YR2013,Austria,AUT,5235.34130859,50731.1272541851,-0.562298942527448,10.28574848
2013,YR2013,Canada,CAN,5484.80761719,52635.1749580433,1.25361381330025,10.41469765
2013,YR2013,Chile,CHL,1183.62084961,15833.2759194461,2.31640012009385,7.44478321
2013,YR2013,Denmark,DNK,6334.41552734,61191.1937042028,0.513424427502201,10.32915878
2013,YR2013,Estonia,EST,1144.64685059,19056.0019226991,1.82015416069549,6.01667261
2013,YR2013,France,FRA,4888.46972656,42602.7179652671,0.0581495050462166,11.40466881
2013,YR2013,Germany,DEU,5099.88867188,46298.9229177345,0.163870562978019,10.99848843
2013,YR2013,Iceland,ISL,4068.55883789,49804.9829978371,3.56817578247606,8.17555237
