Time,Time Code,Country Name,Country Code,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2018,YR2018,Iceland,ISL,8.37734032
2018,YR2018,Ireland,IRL,6.88002014
2018,YR2018,Italy,ITA,8.68187714
2018,YR2018,Japan,JPN,10.74637508
2018,YR2018,"Korea, Rep.",KOR,7.5438838
2018,YR2018,Luxembourg,LUX,5.25880098
2018,YR2018,Mexico,MEX,5.38345814
2018,YR2018,Netherlands,NLD,10.01993561
2018,YR2018,New Zealand,NZL,9.0351162
2018,YR2018,Norway,NOR,10.02394581
2018,YR2018,Poland,POL,6.32764196
2018,YR2018,Portugal,PRT,9.4126482
2018,YR2018,Slovak Republic,SVK,6.69954538
2018,YR2018,Spain,ESP,9.00140381
2018,YR2018,Sweden,SWE,10.94106293
2018,YR2018,Switzerland,CHE,11.38538456
2018,YR2018,Turkiye,TUR,4.12363815
2018,YR2018,United Kingdom,GBR,9.65815544
2018,YR2018,United States,USA,16.64094353
2018,YR2018,Brazil,BRA,9.46474838
2018,YR2018,Chile,CHL,9.15850353
2018,YR2018,China,CHN,5.16790485
2018,YR2018,Estonia,EST,6.72095728
2018,YR2018,India,IND,2.8584938
2018,YR2018,Indonesia,IDN,2.86757827
2018,YR2018,Israel,ISR,7.28700161
2018,YR2018,Russian Federation,RUS,5.35520792
2018,YR2018,Slovenia,SVN,8.27911568
2018,YR2018,South Africa,ZAF,8.06289959
2018,YR2018,Latvia,LVA,6.18867874
2018,YR2018,Costa Rica,CRI,7.28587723
2018,YR2018,Lithuania,LTU,6.53044701
2018,YR2018,Colombia,COL,7.62541389
2018,YR2018,Peru,PER,5.19228029
2018,YR2018,Bulgaria,BGR,7.32867956
2018,YR2018,Croatia,HRV,6.75780032
2018,YR2018,Romania,ROU,5.56050777
2018,YR2018,Argentina,ARG,9.49909592
2018,YR2018,Malta,MLT,8.56596088
2018,YR2018,Cyprus,CYP,6.84573793
2020,YR2020,Australia,AUS,10.6489954
2020,YR2020,Austria,AUT,11.47426033
2020,YR2020,Belgium,BEL,11.06453228
2020,YR2020,Canada,CAN,12.93967533
2020,YR2020,Czechia,CZE,9.24007225
2020,YR2020,Denmark,DNK,10.52817535
2020,YR2020,Finland,FIN,9.61349583
2020,YR2020,France,FRA,12.20504951
2020,YR2020,Germany,DEU,12.82248878
2020,YR2020,Greece,GRC,9.50820732
2020,YR2020,Hungary,HUN,7.25031424
2020,YR2020,Iceland,ISL,9.55796337
2020,YR2020,Ireland,IRL,7.10143661
2020,YR2020,Italy,ITA,9.63378334
2020,YR2020,Japan,JPN,10.9042511
2020,YR2020,"Korea, Rep.",KOR,8.36409569
2020,YR2020,Luxembourg,LUX,5.76745605
2020,YR2020,Mexico,MEX,6.2421484
2020,YR2020,Netherlands,NLD,11.1359272
2020,YR2020,New Zealand,NZL,10.02858734
2020,YR2020,Norway,NOR,11.41755009
2020,YR2020,Poland,POL,6.49310207
2020,YR2020,Portugal,PRT,10.54930592
2020,YR2020,Slovak Republic,SVK,7.23213387
2020,YR2020,Spain,ESP,10.71374989
2020,YR2020,Sweden,SWE,11.37992764
2020,YR2020,Switzerland,CHE,11.79635048
2020,YR2020,Turkiye,TUR,4.61794329
2020,YR2020,United Kingdom,GBR,11.97759342
2020,YR2020,United States,USA,18.81582642
2020,YR2020,Brazil,BRA,10.31291676
2020,YR2020,Chile,CHL,9.75300503
2020,YR2020,China,CHN,5.59359694
2020,YR2020,Estonia,EST,7.75206661
2020,YR2020,India,IND,2.95919013
2020,YR2020,Indonesia,IDN,3.41433048
2020,YR2020,Israel,ISR,8.31950188
2020,YR2020,Russian Federation,RUS,7.59624338
2020,YR2020,Slovenia,SVN,9.45357895
2020,YR2020,South Africa,ZAF,8.58329773
2020,YR2020,Latvia,LVA,7.44663048
2020,YR2020,Costa Rica,CRI,7.855371
2020,YR2020,Lithuania,LTU,7.53844357
2020,YR2020,Colombia,COL,8.99294186
2020,YR2020,Peru,PER,6.30416107
2020,YR2020,Bulgaria,BGR,8.52063847
2020,YR2020,Croatia,HRV,7.76502275
2020,YR2020,Romania,ROU,6.27236223
2020,YR2020,Argentina,ARG,9.98438072
2020,YR2020,Malta,MLT,10.83521566
2020,YR2020,Cyprus,CYP,8.0934782
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/26/2023,,,,
